,name,url,hq,headcount
0,Baker & McKenzie,,Chicago,3246
1,Jones Day Reavis & Pogue,http://www.jonesday.com/,Cleveland,1822
2,Skadden Arps Slate Meagher & Flom ,http://www.skadden.com/,New York,1822
3,Latham & Watkins,http://www.lw.com/,Los Angeles,1627
4,White & Case,http://www.whitecase.com/,New York,1581
5,Sidley Austin Brown & Wood,http://www.sidley.com/,Chicago,1511
6,Mayer Brown Rowe & Maw,http://www.mayerbrown.com/,Chicago,1351
7,Holland & Knight,http://www.hklaw.com/,"Washington, D.C.",1273
8,Morgan Lewis & Bockius,http://www.morganlewis.com/,New York,1098
9,Shearman & Sterling,http://www.shearman.com/,New York,1087
10,Weil Gotshal & Manges ,http://www.weil.com/,New York,1046
11,Akin Gump Strauss Hauer & Feld,http://www.akingump.com/,"Washington, D.C.",1017
12,Morrison & Foerster,http://www.mofo.com/,San Francisco,993
13,McDermott Will & Emery,http://www.mwe.com/,Chicago,983
14,Foley & Lardner ,http://www.foley.com/,Milwaukee,969
15,Hogan & Lovells,http://www.hoganlovells.com/,"Washington, D.C.",937
16,Kirkland & Ellis,http://www.kirkland.com/,Chicago,887
17,OMelveny & Myers,http://www.omm.com/,Los Angeles,879
18,Greenberg Traurig,http://www.gtlaw.com/,Miami,878
19,Vinson & Elkins,http://www.vinson-elkins.com/,Houston,863
20,Winston & Strawn ,http://www.winston.com/,Chicago,842
21,Bryan Cave,http://www.bryancave.com/,St. Louis,841
22,Paul Hastings Janofsky & Walker,http://www.paulhastings.com/,Los Angeles,831
23,Bingham McCutchen,http://www.bingham.com/,Boston,806
24,DLA Piper ,http://www.dlapiper.com/,Chicago,794
25,Hunton & Williams,http://www.hunton.com/,"Richmond, Va.",783
26,Dechert,http://www.dechert.com/,Philadelphia,776
27,Fulbright & Jaworski,http://www.fulbright.com/,Houston,776
28,Gibson Dunn & Crutcher,http://www.gibsondunn.com/,Los Angeles,776
29,Cleary Gottlieb Steen & Hamilton,http://www.cgsh.com/,New York,768
30,Squire Sanders & Dempsey,http://www.ssd.com/,Cleveland,765
31,Sullivan & Cromwell,http://www.sullcrom.com/,New York,751
32,Simpson Thacher & Bartlett,http://www.stblaw.com/,New York,750
33,Reed Smith ,http://www.reedsmith.com/,Pittsburgh,739
34,Dorsey & Whitney,http://www.dorsey.com/,Minneapolis,735
35,"LeBoeuf, Lamb, Greene & MacRae",,New York,723
36,Pillsbury Winthrop,http://www.pillsburywinthrop.com/,San Francisco,721
37,Wilson Sonsini Goodrich & Rosati,http://www.wsgr.com/,"Palo Alto, Calif.",720
38,Arnold & Porter,,"Washington, D.C.",712
39,King & Spalding,http://www.kslaw.com/,Atlanta,711
40,Kirkpatrick & Lockhart,,Pittsburgh,699
41,Baker Botts,http://www.bakerbotts.com/,Houston,677
42,Alston & Bird,http://www.alston.com/,Atlanta,674
43,Coudert Brothers,,New York,665
44,Davis Polk & Wardwell,http://www.dpw.com/,New York,648
45,"Brobeck, Phleger & Harrison",,San Francisco,644
46,Orrick Herrington & Sutcliffe,http://www.orrick.com/,San Francisco,635
47,Katten Muchin Zavis Rosenman,http://www.kmzr.com/,Chicago,629
48,Heller Ehrman White & McAuliffe,,San Francisco,624
49,Proskauer Rose,http://www.proskauer.com/,New York,600
